t[fs]    D_t
0.0000E+00 2.7258E-04
4.0000E-02 5.4509E-04
8.0000E-02 8.1743E-04
1.2000E-01 1.0895E-03
1.6000E-01 1.3611E-03
2.0000E-01 1.6321E-03
2.4000E-01 1.9025E-03
2.8000E-01 2.1721E-03
3.2000E-01 2.4408E-03
3.6000E-01 2.7085E-03
4.0000E-01 2.9752E-03
4.4000E-01 3.2406E-03
4.8000E-01 3.5048E-03
5.2000E-01 3.7676E-03
5.6000E-01 4.0290E-03
6.0000E-01 4.2888E-03
6.4000E-01 4.5470E-03
6.8000E-01 4.8035E-03
7.2000E-01 5.0583E-03
7.6000E-01 5.3113E-03
8.0000E-01 5.5625E-03
8.4000E-01 5.8117E-03
8.8000E-01 6.0590E-03
9.2000E-01 6.3044E-03
9.6000E-01 6.5477E-03
1.0000E+00 6.7889E-03
1.0400E+00 7.0281E-03
1.0800E+00 7.2651E-03
1.1200E+00 7.5000E-03
1.1600E+00 7.7328E-03
1.2000E+00 7.9633E-03
1.2400E+00 8.1917E-03
1.2800E+00 8.4180E-03
1.3200E+00 8.6420E-03
1.3600E+00 8.8638E-03
1.4000E+00 9.0834E-03
1.4400E+00 9.3007E-03
1.4800E+00 9.5159E-03
1.5200E+00 9.7288E-03
1.5600E+00 9.9395E-03
1.6000E+00 1.0148E-02
1.6400E+00 1.0354E-02
1.6800E+00 1.0558E-02
1.7200E+00 1.0760E-02
1.7600E+00 1.0960E-02
1.8000E+00 1.1158E-02
1.8400E+00 1.1353E-02
1.8800E+00 1.1547E-02
1.9200E+00 1.1738E-02
1.9600E+00 1.1927E-02
2.0000E+00 1.2114E-02
2.0400E+00 1.2299E-02
2.0800E+00 1.2481E-02
2.1200E+00 1.2662E-02
2.1600E+00 1.2841E-02
2.2000E+00 1.3018E-02
2.2400E+00 1.3193E-02
2.2800E+00 1.3366E-02
2.3200E+00 1.3536E-02
2.3600E+00 1.3705E-02
2.4000E+00 1.3872E-02
2.4400E+00 1.4038E-02
2.4800E+00 1.4201E-02
2.5200E+00 1.4363E-02
2.5600E+00 1.4522E-02
2.6000E+00 1.4680E-02
2.6400E+00 1.4836E-02
2.6800E+00 1.4991E-02
2.7200E+00 1.5143E-02
2.7600E+00 1.5294E-02
2.8000E+00 1.5444E-02
2.8400E+00 1.5591E-02
2.8800E+00 1.5737E-02
2.9200E+00 1.5882E-02
2.9600E+00 1.6024E-02
3.0000E+00 1.6166E-02
3.0400E+00 1.6305E-02
3.0800E+00 1.6443E-02
3.1200E+00 1.6580E-02
3.1600E+00 1.6715E-02
3.2000E+00 1.6849E-02
3.2400E+00 1.6981E-02
3.2800E+00 1.7112E-02
3.3200E+00 1.7241E-02
3.3600E+00 1.7369E-02
3.4000E+00 1.7495E-02
3.4400E+00 1.7621E-02
3.4800E+00 1.7744E-02
3.5200E+00 1.7867E-02
3.5600E+00 1.7988E-02
3.6000E+00 1.8108E-02
3.6400E+00 1.8227E-02
3.6800E+00 1.8344E-02
3.7200E+00 1.8460E-02
3.7600E+00 1.8575E-02
3.8000E+00 1.8689E-02
3.8400E+00 1.8802E-02
3.8800E+00 1.8913E-02
3.9200E+00 1.9023E-02
3.9600E+00 1.9132E-02
