r[bohr]     PCF
0.000000E+00  0.000000E+00  
1.000000E-01  0.000000E+00  
2.000000E-01  0.000000E+00  
3.000000E-01  4.691842E-02  
4.000000E-01  5.342635E-02  
5.000000E-01  9.164717E-02  
6.000000E-01  1.152302E-01  
7.000000E-01  1.484585E-01  
8.000000E-01  1.637800E-01  
9.000000E-01  2.195235E-01  
1.000000E+00  3.084963E-01  
1.100000E+00  4.133757E-01  
1.200000E+00  4.799236E-01  
1.300000E+00  5.782290E-01  
1.400000E+00  6.269715E-01  
1.500000E+00  7.005225E-01  
1.600000E+00  7.452231E-01  
1.700000E+00  8.241083E-01  
1.800000E+00  9.039735E-01  
1.900000E+00  9.498491E-01  
2.000000E+00  9.600833E-01  
2.100000E+00  9.857780E-01  
2.200000E+00  1.037540E+00  
2.300000E+00  1.005052E+00  
2.400000E+00  1.043076E+00  
2.500000E+00  1.034725E+00  
2.600000E+00  1.029744E+00  
2.700000E+00  1.024615E+00  
2.800000E+00  1.018408E+00  
2.900000E+00  9.797092E-01  
3.000000E+00  9.817564E-01  
3.100000E+00  9.965991E-01  
3.200000E+00  9.928043E-01  
3.300000E+00  9.654167E-01  
3.400000E+00  9.919824E-01  
3.500000E+00  9.849573E-01  
3.600000E+00  9.802223E-01  
3.700000E+00  1.003435E+00  
3.800000E+00  9.770072E-01  
3.900000E+00  1.009618E+00  
4.000000E+00  1.010401E+00  
4.100000E+00  1.012372E+00  
4.200000E+00  1.009296E+00  
4.300000E+00  9.888680E-01  
4.400000E+00  9.939405E-01  
4.500000E+00  1.001699E+00  
4.600000E+00  9.970742E-01  
4.700000E+00  9.996036E-01  
4.800000E+00  9.518944E-01  
4.900000E+00  8.999002E-01  
5.000000E+00  8.364554E-01  
5.100000E+00  7.720238E-01  
5.200000E+00  7.085970E-01  
5.300000E+00  6.468009E-01  
5.400000E+00  6.135166E-01  
5.500000E+00  5.590413E-01  
5.600000E+00  5.216452E-01  
5.700000E+00  4.765401E-01  
5.800000E+00  4.293768E-01  
5.900000E+00  3.938359E-01  
6.000000E+00  3.566222E-01  
6.100000E+00  3.196166E-01  
6.200000E+00  2.802252E-01  
6.300000E+00  2.514211E-01  
6.400000E+00  2.150960E-01  
6.500000E+00  1.809969E-01  
6.600000E+00  1.444479E-01  
6.700000E+00  1.119134E-01  
6.800000E+00  9.207597E-02  
6.900000E+00  7.427066E-02  
7.000000E+00  6.062162E-02  
7.100000E+00  4.672961E-02  
7.200000E+00  3.651518E-02  
7.300000E+00  2.836884E-02  
7.400000E+00  2.131995E-02  
7.500000E+00  1.641734E-02  
7.600000E+00  1.128262E-02  
7.700000E+00  7.582192E-03  
7.800000E+00  4.328808E-03  
7.900000E+00  2.674646E-03  
8.000000E+00  9.808366E-04  
8.100000E+00  1.883290E-04  
8.200000E+00  4.967326E-06  
8.300000E+00  0.000000E+00  
8.400000E+00  0.000000E+00  
8.500000E+00  0.000000E+00  
8.600000E+00  0.000000E+00  
8.700000E+00  0.000000E+00  
8.800000E+00  0.000000E+00  
8.900000E+00  0.000000E+00  
9.000000E+00  0.000000E+00  
9.100000E+00  0.000000E+00  
9.200000E+00  0.000000E+00  
9.300000E+00  0.000000E+00  
9.400000E+00  0.000000E+00  
9.500000E+00  0.000000E+00  
9.600000E+00  0.000000E+00  
9.700000E+00  0.000000E+00  
9.800000E+00  0.000000E+00  
9.900000E+00  0.000000E+00  
