t[fs]    SACF
0.0000E+00  9.1429E+05
4.0000E-02  9.1315E+05
8.0000E-02  9.1118E+05
1.2000E-01  9.0139E+05
1.6000E-01  8.9234E+05
2.0000E-01  8.6666E+05
2.4000E-01  8.5896E+05
2.8000E-01  8.3664E+05
3.2000E-01  8.2107E+05
3.6000E-01  7.9780E+05
4.0000E-01  7.6784E+05
4.4000E-01  7.5059E+05
4.8000E-01  7.1802E+05
5.2000E-01  6.9623E+05
5.6000E-01  6.7441E+05
6.0000E-01  6.4786E+05
6.4000E-01  6.2914E+05
6.8000E-01  6.0559E+05
7.2000E-01  5.8385E+05
7.6000E-01  5.6281E+05
8.0000E-01  5.4440E+05
8.4000E-01  5.2709E+05
8.8000E-01  5.1146E+05
9.2000E-01  4.9748E+05
9.6000E-01  4.8540E+05
1.0000E+00  4.7427E+05
1.0400E+00  4.6326E+05
1.0800E+00  4.5425E+05
1.1200E+00  4.4456E+05
1.1600E+00  4.3484E+05
1.2000E+00  4.2550E+05
1.2400E+00  4.1584E+05
1.2800E+00  4.0916E+05
1.3200E+00  3.9695E+05
1.3600E+00  3.8686E+05
1.4000E+00  3.8038E+05
1.4400E+00  3.7102E+05
1.4800E+00  3.5788E+05
1.5200E+00  3.4746E+05
1.5600E+00  3.3655E+05
1.6000E+00  3.2284E+05
1.6400E+00  3.1465E+05
1.6800E+00  3.0307E+05
1.7200E+00  2.9775E+05
1.7600E+00  2.8542E+05
1.8000E+00  2.7646E+05
1.8400E+00  2.8827E+05
1.8800E+00  2.7059E+05
1.9200E+00  2.6561E+05
1.9600E+00  2.6316E+05
2.0000E+00  2.5872E+05
2.0400E+00  2.5696E+05
2.0800E+00  2.5618E+05
2.1200E+00  2.5884E+05
2.1600E+00  2.5763E+05
2.2000E+00  2.6072E+05
2.2400E+00  2.6046E+05
2.2800E+00  2.6289E+05
2.3200E+00  2.6499E+05
2.3600E+00  2.6534E+05
2.4000E+00  2.6650E+05
2.4400E+00  2.6524E+05
2.4800E+00  2.6209E+05
2.5200E+00  2.6540E+05
2.5600E+00  2.6173E+05
2.6000E+00  2.5504E+05
2.6400E+00  2.6060E+05
2.6800E+00  2.5519E+05
2.7200E+00  2.5008E+05
2.7600E+00  2.5046E+05
2.8000E+00  2.4623E+05
2.8400E+00  2.4395E+05
2.8800E+00  2.3997E+05
2.9200E+00  2.3290E+05
2.9600E+00  2.2766E+05
3.0000E+00  2.2286E+05
3.0400E+00  2.1803E+05
3.0800E+00  2.1352E+05
3.1200E+00  2.0890E+05
3.1600E+00  2.0503E+05
3.2000E+00  2.0028E+05
3.2400E+00  1.9695E+05
3.2800E+00  1.9422E+05
3.3200E+00  1.9478E+05
3.3600E+00  1.9035E+05
3.4000E+00  1.9006E+05
3.4400E+00  1.8769E+05
3.4800E+00  1.8681E+05
3.5200E+00  1.8737E+05
3.5600E+00  1.8648E+05
3.6000E+00  1.8684E+05
3.6400E+00  1.8601E+05
3.6800E+00  1.9356E+05
3.7200E+00  1.9080E+05
3.7600E+00  1.9072E+05
3.8000E+00  1.8843E+05
3.8400E+00  1.9175E+05
3.8800E+00  1.8846E+05
3.9200E+00  1.9234E+05
3.9600E+00  1.9230E+05
