t[fs]    VACF
0.0000E+00 4.2715E-04
4.0000E-02 4.2705E-04
8.0000E-02 4.2677E-04
1.2000E-01 4.2629E-04
1.6000E-01 4.2562E-04
2.0000E-01 4.2477E-04
2.4000E-01 4.2371E-04
2.8000E-01 4.2249E-04
3.2000E-01 4.2109E-04
3.6000E-01 4.1954E-04
4.0000E-01 4.1784E-04
4.4000E-01 4.1598E-04
4.8000E-01 4.1398E-04
5.2000E-01 4.1184E-04
5.6000E-01 4.0957E-04
6.0000E-01 4.0717E-04
6.4000E-01 4.0464E-04
6.8000E-01 4.0200E-04
7.2000E-01 3.9927E-04
7.6000E-01 3.9646E-04
8.0000E-01 3.9357E-04
8.4000E-01 3.9060E-04
8.8000E-01 3.8756E-04
9.2000E-01 3.8445E-04
9.6000E-01 3.8129E-04
1.0000E+00 3.7807E-04
1.0400E+00 3.7478E-04
1.0800E+00 3.7145E-04
1.1200E+00 3.6809E-04
1.1600E+00 3.6472E-04
1.2000E+00 3.6134E-04
1.2400E+00 3.5792E-04
1.2800E+00 3.5450E-04
1.3200E+00 3.5105E-04
1.3600E+00 3.4759E-04
1.4000E+00 3.4412E-04
1.4400E+00 3.4063E-04
1.4800E+00 3.3713E-04
1.5200E+00 3.3365E-04
1.5600E+00 3.3019E-04
1.6000E+00 3.2674E-04
1.6400E+00 3.2331E-04
1.6800E+00 3.1988E-04
1.7200E+00 3.1646E-04
1.7600E+00 3.1306E-04
1.8000E+00 3.0968E-04
1.8400E+00 3.0628E-04
1.8800E+00 3.0291E-04
1.9200E+00 2.9956E-04
1.9600E+00 2.9627E-04
2.0000E+00 2.9300E-04
2.0400E+00 2.8976E-04
2.0800E+00 2.8654E-04
2.1200E+00 2.8335E-04
2.1600E+00 2.8020E-04
2.2000E+00 2.7706E-04
2.2400E+00 2.7393E-04
2.2800E+00 2.7084E-04
2.3200E+00 2.6779E-04
2.3600E+00 2.6478E-04
2.4000E+00 2.6182E-04
2.4400E+00 2.5889E-04
2.4800E+00 2.5600E-04
2.5200E+00 2.5313E-04
2.5600E+00 2.5030E-04
2.6000E+00 2.4749E-04
2.6400E+00 2.4469E-04
2.6800E+00 2.4194E-04
2.7200E+00 2.3923E-04
2.7600E+00 2.3656E-04
2.8000E+00 2.3394E-04
2.8400E+00 2.3135E-04
2.8800E+00 2.2879E-04
2.9200E+00 2.2626E-04
2.9600E+00 2.2377E-04
3.0000E+00 2.2129E-04
3.0400E+00 2.1883E-04
3.0800E+00 2.1641E-04
3.1200E+00 2.1402E-04
3.1600E+00 2.1169E-04
3.2000E+00 2.0939E-04
3.2400E+00 2.0712E-04
3.2800E+00 2.0488E-04
3.3200E+00 2.0267E-04
3.3600E+00 2.0049E-04
3.4000E+00 1.9832E-04
3.4400E+00 1.9617E-04
3.4800E+00 1.9405E-04
3.5200E+00 1.9197E-04
3.5600E+00 1.8992E-04
3.6000E+00 1.8792E-04
3.6400E+00 1.8594E-04
3.6800E+00 1.8399E-04
3.7200E+00 1.8206E-04
3.7600E+00 1.8016E-04
3.8000E+00 1.7827E-04
3.8400E+00 1.7638E-04
3.8800E+00 1.7454E-04
3.9200E+00 1.7272E-04
3.9600E+00 1.7094E-04
