Energy(eV)   DOS
-0.7740857782 0.0000000002
-0.7555867332 0.0000000004
-0.7370876883 0.0000000007
-0.7185886434 0.0000000014
-0.7000895985 0.0000000028
-0.6815905535 0.0000000053
-0.6630915086 0.0000000099
-0.6445924637 0.0000000185
-0.6260934188 0.0000000341
-0.6075943738 0.0000000624
-0.5890953289 0.0000001132
-0.5705962840 0.0000002034
-0.5520972391 0.0000003623
-0.5335981941 0.0000006393
-0.5150991492 0.0000011180
-0.4966001043 0.0000019372
-0.4781010594 0.0000033263
-0.4596020144 0.0000056596
-0.4411029695 0.0000095427
-0.4226039246 0.0000159441
-0.4041048797 0.0000263987
-0.3856058347 0.0000433133
-0.3671067898 0.0000704236
-0.3486077449 0.0001134687
-0.3301086999 0.0001811748
-0.3116096550 0.0002866729
-0.2931106101 0.0004495168
-0.2746115652 0.0006985201
-0.2561125202 0.0010756945
-0.2376134753 0.0016416463
-0.2191144304 0.0024828732
-0.2006153855 0.0037214956
-0.1821163405 0.0055280552
-0.1636172956 0.0081381015
-0.1451182507 0.0118733642
-0.1266192058 0.0171683525
-0.1081201608 0.0246032169
-0.0896211159 0.0349436290
-0.0711220710 0.0491882588
-0.0526230261 0.0686241245
-0.0341239811 0.0948896379
-0.0156249362 0.1300445430
0.0028741087 0.1766451394
0.0213731536 0.2378221956
0.0398721986 0.3173578118
0.0583712435 0.4197562364
0.0768702884 0.5503023461
0.0953693333 0.7151002658
0.1138683783 0.9210835691
0.1323674232 1.1759878100
0.1508664681 1.4882759586
0.1693655130 1.8670078211
0.1878645580 2.3216458571
0.2063636029 2.8617920832
0.2248626478 3.4968540175
0.2433616927 4.2356418451
0.2618607377 5.0859040415
0.2803597826 6.0538143379
0.2988588275 7.1434288115
0.3173578725 8.3561375891
0.3358569174 9.6901406472
0.3543559623 11.1399809413
0.3728550072 12.6961700595
0.3913540522 14.3449413171
0.4098530971 16.0681623535
0.4283521420 17.8434337192
0.4468511869 19.6443917026
0.4653502319 21.4412230850
0.4838492768 23.2013871665
0.5023483217 24.8905270812
0.5208473666 26.4735390538
0.5393464116 27.9157559034
0.5578454565 29.1841908148
0.5763445014 30.2487801414
0.5948435463 31.0835605261
0.6133425913 31.6677164253
0.6318416362 31.9864393317
0.6503406811 32.0315494018
0.6688397260 31.8018432052
0.6873387710 31.3031470332
0.7058378159 30.5480724720
0.7243368608 29.5554884794
0.7428359057 28.3497406749
0.7613349507 26.9596627504
0.7798339956 25.4174358085
0.7983330405 23.7573583121
0.8168320854 22.0145918173
0.8353311304 20.2239457518
0.8538301753 18.4187585603
0.8723292202 16.6299232283
0.8908282651 14.8850934157
0.9093273101 13.2080932200
0.9278263550 11.6185400191
0.9463253999 10.1316769224
0.9648244449 8.7583999633
0.9833234898 7.5054559442
1.0018225347 6.3757802283
1.0203215796 5.3689399107
1.0388206246 4.4816466352
1.0573196695 3.7083045627
1.0758187144 3.0415622300
1.0943177593 2.4728417308
1.1128168043 1.9928242509
1.1313158492 1.5918769644
1.1498148941 1.2604121548
1.1683139390 0.9891747894
1.1868129840 0.7694593591
1.2053120289 0.5932604345
1.2238110738 0.4533640190
1.2423101187 0.3433884259
1.2608091637 0.2577841663
1.2793082086 0.1918023506
1.2978072535 0.1414405432
1.3163062984 0.1033740423
1.3348053434 0.0748793489
1.3533043883 0.0537552738
1.3718034332 0.0382458341
1.3903024781 0.0269678873
1.4088015231 0.0188453945
1.4273005680 0.0130513359
1.4457996129 0.0089576098
1.4642986578 0.0060927433
1.4827977028 0.0041068933
1.5012967477 0.0027434061
1.5197957926 0.0018160985
1.5382948375 0.0011914008
1.5567938825 0.0007745371
1.5752929274 0.0004989870
1.5937919723 0.0003185633
1.6122910172 0.0002015389
1.6307900622 0.0001263501
1.6492891071 0.0000784953
1.6677881520 0.0000483236
1.6862871970 0.0000294795
1.7047862419 0.0000178207
1.7232852868 0.0000106751
1.7417843317 0.0000063366
1.7602833767 0.0000037271
1.7787824216 0.0000021723
1.7972814665 0.0000012546
1.8157805114 0.0000007180
1.8342795564 0.0000004072
1.8527786013 0.0000002288
1.8712776462 0.0000001274
1.8897766911 0.0000000703
1.9082757361 0.0000000384
1.9267747810 0.0000000208
1.9452738259 0.0000000112
1.9637728708 0.0000000059
1.9822719158 0.0000000031
2.0007709607 0.0000000016
2.0192700056 0.0000000008
2.0377690505 0.0000000004
2.0562680955 0.0000000002
2.0747671404 0.0000000001
2.0932661853 0.0000000001
2.1117652302 0.0000000000
2.1302642752 0.0000000000
2.1487633201 0.0000000000
2.1672623650 0.0000000000
2.1857614099 0.0000000000
2.2042604549 0.0000000000
2.2227594998 0.0000000000
2.2412585447 0.0000000000
2.2597575896 0.0000000000
2.2782566346 0.0000000000
2.2967556795 0.0000000000
2.3152547244 0.0000000000
2.3337537694 0.0000000000
2.3522528143 0.0000000000
2.3707518592 0.0000000000
2.3892509041 0.0000000000
2.4077499491 0.0000000000
2.4262489940 0.0000000000
2.4447480389 0.0000000000
2.4632470838 0.0000000000
2.4817461288 0.0000000000
2.5002451737 0.0000000000
2.5187442186 0.0000000000
2.5372432635 0.0000000000
2.5557423085 0.0000000000
2.5742413534 0.0000000000
2.5927403983 0.0000000000
2.6112394432 0.0000000000
2.6297384882 0.0000000000
2.6482375331 0.0000000000
2.6667365780 0.0000000000
2.6852356229 0.0000000000
2.7037346679 0.0000000000
2.7222337128 0.0000000000
2.7407327577 0.0000000000
2.7592318026 0.0000000000
2.7777308476 0.0000000000
2.7962298925 0.0000000000
2.8147289374 0.0000000000
2.8332279823 0.0000000000
2.8517270273 0.0000000000
2.8702260722 0.0000000000
2.8887251171 0.0000000000
2.9072241620 0.0000000000
2.9257232070 0.0000000000
2.9442222519 0.0000000000
2.9627212968 0.0000000000
2.9812203418 0.0000000000
2.9997193867 0.0000000000
3.0182184316 0.0000000000
3.0367174765 0.0000000000
3.0552165215 0.0000000000
3.0737155664 0.0000000000
3.0922146113 0.0000000000
3.1107136562 0.0000000000
3.1292127012 0.0000000000
3.1477117461 0.0000000000
3.1662107910 0.0000000000
3.1847098359 0.0000000000
3.2032088809 0.0000000000
3.2217079258 0.0000000000
3.2402069707 0.0000000000
3.2587060156 0.0000000000
3.2772050606 0.0000000000
3.2957041055 0.0000000000
3.3142031504 0.0000000000
3.3327021953 0.0000000000
3.3512012403 0.0000000000
3.3697002852 0.0000000000
3.3881993301 0.0000000000
3.4066983750 0.0000000000
3.4251974200 0.0000000000
3.4436964649 0.0000000000
3.4621955098 0.0000000000
3.4806945547 0.0000000000
3.4991935997 0.0000000000
3.5176926446 0.0000000000
3.5361916895 0.0000000000
3.5546907344 0.0000000000
3.5731897794 0.0000000000
3.5916888243 0.0000000000
3.6101878692 0.0000000000
3.6286869142 0.0000000000
3.6471859591 0.0000000001
3.6656850040 0.0000000001
3.6841840489 0.0000000002
3.7026830939 0.0000000005
3.7211821388 0.0000000009
3.7396811837 0.0000000017
3.7581802286 0.0000000032
3.7766792736 0.0000000059
3.7951783185 0.0000000110
3.8136773634 0.0000000203
3.8321764083 0.0000000369
3.8506754533 0.0000000668
3.8691744982 0.0000001195
3.8876735431 0.0000002120
3.9061725880 0.0000003725
3.9246716330 0.0000006487
3.9431706779 0.0000011192
3.9616697228 0.0000019132
3.9801687677 0.0000032403
3.9986678127 0.0000054375
4.0171668576 0.0000090406
4.0356659025 0.0000148931
4.0541649474 0.0000243085
4.0726639924 0.0000393113
4.0911630373 0.0000629885
4.1096620822 0.0000999980
4.1281611271 0.0001572921
4.1466601721 0.0002451366
4.1651592170 0.0003785254
4.1836582619 0.0005791188
4.2021573068 0.0008778615
4.2206563518 0.0013184692
4.2391553967 0.0019620031
4.2576544416 0.0028927777
4.2761534865 0.0042258701
4.2946525315 0.0061164990
4.3131515764 0.0087715302
4.3316506213 0.0124633132
4.3501496663 0.0175459685
4.3686487112 0.0244741079
4.3871477561 0.0338237757
4.4056468010 0.0463151411
4.4241458460 0.0628361529
4.4426448909 0.0844659895
4.4611439358 0.1124967174
4.4796429807 0.1484511330
4.4981420257 0.1940943409
4.5166410706 0.2514362667
4.5351401155 0.3227220625
4.5536391604 0.4104073058
