
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 0.696
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -0.774
:MAX_E: 17.706
:BAND_NUM: 12
:KPT_NUM: 1
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 16
:PROJ_ORBITALS: 16
:VOLUME: 448.293
:CALCULATION_TIME: 0.374
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Al
    :ATOMIC_NUMBER: 13
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-0.7740857782 	0.0000000000 	0.0000000001 	0.0000000001 	0.0000000001
	-0.7555867332 	0.0000000000 	0.0000000001 	0.0000000001 	0.0000000001
	-0.7370876883 	0.0000000000 	0.0000000002 	0.0000000002 	0.0000000002
	-0.7185886434 	0.0000000000 	0.0000000004 	0.0000000004 	0.0000000004
	-0.7000895985 	0.0000000000 	0.0000000007 	0.0000000007 	0.0000000007
	-0.6815905535 	0.0000000000 	0.0000000014 	0.0000000014 	0.0000000014
	-0.6630915086 	0.0000000001 	0.0000000027 	0.0000000027 	0.0000000027
	-0.6445924637 	0.0000000001 	0.0000000049 	0.0000000049 	0.0000000049
	-0.6260934188 	0.0000000002 	0.0000000091 	0.0000000091 	0.0000000091
	-0.6075943738 	0.0000000004 	0.0000000166 	0.0000000166 	0.0000000166
	-0.5890953289 	0.0000000008 	0.0000000300 	0.0000000300 	0.0000000300
	-0.5705962840 	0.0000000014 	0.0000000538 	0.0000000538 	0.0000000538
	-0.5520972391 	0.0000000027 	0.0000000955 	0.0000000955 	0.0000000955
	-0.5335981941 	0.0000000050 	0.0000001679 	0.0000001679 	0.0000001679
	-0.5150991492 	0.0000000093 	0.0000002925 	0.0000002925 	0.0000002925
	-0.4966001043 	0.0000000170 	0.0000005048 	0.0000005048 	0.0000005048
	-0.4781010594 	0.0000000307 	0.0000008633 	0.0000008633 	0.0000008633
	-0.4596020144 	0.0000000550 	0.0000014628 	0.0000014628 	0.0000014628
	-0.4411029695 	0.0000000977 	0.0000024557 	0.0000024557 	0.0000024557
	-0.4226039246 	0.0000001718 	0.0000040847 	0.0000040846 	0.0000040846
	-0.4041048797 	0.0000002994 	0.0000067317 	0.0000067315 	0.0000067316
	-0.3856058347 	0.0000005171 	0.0000109920 	0.0000109917 	0.0000109919
	-0.3671067898 	0.0000008847 	0.0000177833 	0.0000177829 	0.0000177831
	-0.3486077449 	0.0000014998 	0.0000285059 	0.0000285053 	0.0000285057
	-0.3301086999 	0.0000025190 	0.0000452735 	0.0000452726 	0.0000452731
	-0.3116096550 	0.0000041921 	0.0000712424 	0.0000712410 	0.0000712419
	-0.2931106101 	0.0000069123 	0.0001110757 	0.0001110734 	0.0001110748
	-0.2746115652 	0.0000112926 	0.0001715872 	0.0001715837 	0.0001715858
	-0.2561125202 	0.0000182790 	0.0002626252 	0.0002626200 	0.0002626232
